Time,RightHand_Position_X,RightHand_Position_Y,RightHand_Position_Z,LeftHand_Position_X,LeftHand_Position_Y,LeftHand_Position_Z,Head_Position_X,Head_Position_Y,Head_Position_Z
0,0,0,1.336,0,0,1.336,0,0,1.336
0.02,0,0,1.336,0,0,1.336,0,0,1.336
0.04,0,0,1.336,0,0,1.336,0,0,1.336
0.06,0,0,1.336,0,0,1.336,0,0,1.336
0.08,0,0,1.336,0,0,1.336,0,0,1.336
0.09999999,0,0,1.336,0,0,1.336,0,0,1.336
0.12,0,0,1.336,0,0,1.336,0,0,1.336
0.14,0,0,1.336,0,0,1.336,0,0,1.336
0.16,0,0,1.336,0,0,1.336,0,0,1.336
0.18,0,0,1.336,0,0,1.336,0,0,1.336
0.2,0,0,1.336,0,0,1.336,0,0,1.336
0.22,0,0,1.336,0,0,1.336,0,0,1.336
0.24,0,0,1.336,0,0,1.336,0,0,1.336
0.26,0,0,1.336,0,0,1.336,0,0,1.336
0.28,0,0,1.336,0,0,1.336,0,0,1.336
0.3,0,0,1.336,0,0,1.336,0,0,1.336
0.32,0,0,1.336,0,0,1.336,0,0,1.336
0.34,0,0,1.336,0,0,1.336,0,0,1.336
0.36,0,0,1.336,0,0,1.336,0,0,1.336
0.38,0,0,1.336,0,0,1.336,0,0,1.336
0.4,0,0,1.336,0,0,1.336,0,0,1.336
0.42,0,0,1.336,0,0,1.336,0,0,1.336
0.44,0,0,1.336,0,0,1.336,0,0,1.336
0.46,0,0,1.336,0,0,1.336,0,0,1.336
0.48,0,0,1.336,0,0,1.336,0,0,1.336
0.5,0,0,1.336,0,0,1.336,0,0,1.336
0.52,0,0,1.336,0,0,1.336,0,0,1.336
0.54,0,0,1.336,0,0,1.336,0,0,1.336
0.56,0,0,1.336,0,0,1.336,0,0,1.336
0.58,0,0,1.336,0,0,1.336,0,0,1.336
0.6,0,0,1.336,0,0,1.336,0,0,1.336
0.62,0,0,1.336,0,0,1.336,0,0,1.336
0.64,0,0,1.336,0,0,1.336,0,0,1.336
0.66,0,0,1.336,0,0,1.336,0,0,1.336
0.68,0,0,1.336,0,0,1.336,0,0,1.336
0.7,0,0,1.336,0,0,1.336,0,0,1.336
0.72,0,0,1.336,0,0,1.336,0,0,1.336
0.74,0,0,1.336,0,0,1.336,0,0,1.336
0.76,0,0,1.336,0,0,1.336,0,0,1.336
0.78,0,0,1.336,0,0,1.336,0,0,1.336
0.8,0,0,1.336,0,0,1.336,0,0,1.336
0.82,0,0,1.336,0,0,1.336,0,0,1.336
0.84,0,0,1.336,0,0,1.336,0,0,1.336
0.86,0,0,1.336,0,0,1.336,0,0,1.336
0.88,0,0,1.336,0,0,1.336,0,0,1.336
0.9,0,0,1.336,0,0,1.336,0,0,1.336
0.92,0,0,1.336,0,0,1.336,0,0,1.336
0.94,0,0,1.336,0,0,1.336,0,0,1.336
0.96,0,0,1.336,0,0,1.336,0,0,1.336
0.98,0,0,1.336,0,0,1.336,0,0,1.336
1,0,0,1.336,0,0,1.336,0,0,1.336
1.02,0,0,1.336,0,0,1.336,0,0,1.336
1.04,0,0,1.336,0,0,1.336,0,0,1.336
1.06,0,0,1.336,0,0,1.336,0,0,1.336
1.08,0,0,1.336,0,0,1.336,0,0,1.336
1.1,0,0,1.336,0,0,1.336,0,0,1.336
1.12,0,0,1.336,0,0,1.336,0,0,1.336
1.14,0,0,1.336,0,0,1.336,0,0,1.336
1.16,0,0,1.336,0,0,1.336,0,0,1.336
1.18,0,0,1.336,0,0,1.336,0,0,1.336
1.2,0,0,1.336,0,0,1.336,0,0,1.336
1.22,0,0,1.336,0,0,1.336,0,0,1.336
1.24,0,0,1.336,0,0,1.336,0,0,1.336
1.26,0,0,1.336,0,0,1.336,0,0,1.336
1.28,0,0,1.336,0,0,1.336,0,0,1.336
1.3,0,0,1.336,0,0,1.336,0,0,1.336
1.32,0,0,1.336,0,0,1.336,0,0,1.336
1.34,0,0,1.336,0,0,1.336,0,0,1.336
1.36,0,0,1.336,0,0,1.336,0,0,1.336
1.38,0,0,1.336,0,0,1.336,0,0,1.336
1.4,0,0,1.336,0,0,1.336,0,0,1.336
1.42,0,0,1.336,0,0,1.336,0,0,1.336
1.44,0,0,1.336,0,0,1.336,0,0,1.336
1.46,0,0,1.336,0,0,1.336,0,0,1.336
1.48,0,0,1.336,0,0,1.336,0,0,1.336
1.5,0,0,1.336,0,0,1.336,0,0,1.336
1.52,0,0,1.336,0,0,1.336,0,0,1.336
1.54,0,0,1.336,0,0,1.336,0,0,1.336
1.56,0,0,1.336,0,0,1.336,0,0,1.336
1.58,0,0,1.336,0,0,1.336,0,0,1.336
1.6,0,0,1.336,0,0,1.336,0,0,1.336
1.62,0,0,1.336,0,0,1.336,0,0,1.336
1.64,0,0,1.336,0,0,1.336,0,0,1.336
1.66,0,0,1.336,0,0,1.336,0,0,1.336
1.68,0,0,1.336,0,0,1.336,0,0,1.336
1.7,0,0,1.336,0,0,1.336,0,0,1.336
1.72,0,0,1.336,0,0,1.336,0,0,1.336
1.74,0,0,1.336,0,0,1.336,0,0,1.336
1.76,0,0,1.336,0,0,1.336,0,0,1.336
1.78,0,0,1.336,0,0,1.336,0,0,1.336
1.8,0,0,1.336,0,0,1.336,0,0,1.336
1.82,0,0,1.336,0,0,1.336,0,0,1.336
1.84,0,0,1.336,0,0,1.336,0,0,1.336
1.86,0,0,1.336,0,0,1.336,0,0,1.336
1.88,0,0,1.336,0,0,1.336,0,0,1.336
1.9,0,0,1.336,0,0,1.336,0,0,1.336
1.92,0,0,1.336,0,0,1.336,0,0,1.336
1.94,0,0,1.336,0,0,1.336,0,0,1.336
1.96,0,0,1.336,0,0,1.336,0,0,1.336
1.98,0,0,1.336,0,0,1.336,0,0,1.336
2,0,0,1.336,0,0,1.336,0,0,1.336
2.02,0,0,1.336,0,0,1.336,0,0,1.336
2.04,0,0,1.336,0,0,1.336,0,0,1.336
2.06,0,0,1.336,0,0,1.336,0,0,1.336
2.08,0,0,1.336,0,0,1.336,0,0,1.336
2.1,0,0,1.336,0,0,1.336,0,0,1.336
2.12,0,0,1.336,0,0,1.336,0,0,1.336
2.14,0,0,1.336,0,0,1.336,0,0,1.336
2.16,0,0,1.336,0,0,1.336,0,0,1.336
2.18,0,0,1.336,0,0,1.336,0,0,1.336
2.2,0,0,1.336,0,0,1.336,0,0,1.336
2.22,0,0,1.336,0,0,1.336,0,0,1.336
2.24,0,0,1.336,0,0,1.336,0,0,1.336
2.26,0,0,1.336,0,0,1.336,0,0,1.336
2.28,0,0,1.336,0,0,1.336,0,0,1.336
2.3,0,0,1.336,0,0,1.336,0,0,1.336
2.32,0,0,1.336,0,0,1.336,0,0,1.336
2.34,0,0,1.336,0,0,1.336,0,0,1.336
2.36,0,0,1.336,0,0,1.336,0,0,1.336
2.38,0,0,1.336,0,0,1.336,0,0,1.336
2.4,0,0,1.336,0,0,1.336,0,0,1.336
2.42,0,0,1.336,0,0,1.336,0,0,1.336
2.44,0,0,1.336,0,0,1.336,0,0,1.336
2.46,0,0,1.336,0,0,1.336,0,0,1.336
2.48,0,0,1.336,0,0,1.336,0,0,1.336
2.5,0,0,1.336,0,0,1.336,0,0,1.336
2.52,0,0,1.336,0,0,1.336,0,0,1.336
2.54,0,0,1.336,0,0,1.336,0,0,1.336
2.56,0,0,1.336,0,0,1.336,0,0,1.336
2.58,0,0,1.336,0,0,1.336,0,0,1.336
2.6,0,0,1.336,0,0,1.336,0,0,1.336
2.62,0,0,1.336,0,0,1.336,0,0,1.336
2.64,0,0,1.336,0,0,1.336,0,0,1.336
2.66,0,0,1.336,0,0,1.336,0,0,1.336
2.68,0,0,1.336,0,0,1.336,0,0,1.336
2.7,0,0,1.336,0,0,1.336,0,0,1.336
2.72,0,0,1.336,0,0,1.336,0,0,1.336
2.74,0,0,1.336,0,0,1.336,0,0,1.336
2.76,0,0,1.336,0,0,1.336,0,0,1.336
2.78,0,0,1.336,0,0,1.336,0,0,1.336
2.8,0,0,1.336,0,0,1.336,0,0,1.336
2.82,0,0,1.336,0,0,1.336,0,0,1.336
2.84,0,0,1.336,0,0,1.336,0,0,1.336
2.86,0,0,1.336,0,0,1.336,0,0,1.336
2.88,0,0,1.336,0,0,1.336,0,0,1.336
2.9,0,0,1.336,0,0,1.336,0,0,1.336
2.92,0,0,1.336,0,0,1.336,0,0,1.336
2.94,0,0,1.336,0,0,1.336,0,0,1.336
2.96,0,0,1.336,0,0,1.336,0,0,1.336
2.98,0,0,1.336,0,0,1.336,0,0,1.336
3,0,0,1.336,0,0,1.336,0,0,1.336
